backend-1  | INFO:     Started server process [1]
backend-1  | INFO:     Waiting for application startup.
backend-1  | INFO:     Application startup complete.
backend-1  | INFO:     Uvicorn running on http://0.0.0.0:8000 (Press CTRL+C to quit)
backend-1  | INFO:     127.0.0.1:39528 - "GET /health HTTP/1.1" 200 OK
backend-1  | INFO:     127.0.0.1:49132 - "GET /health HTTP/1.1" 200 OK
backend-1  | INFO:     127.0.0.1:53738 - "GET /health HTTP/1.1" 200 OK
backend-1  | INFO:     127.0.0.1:33222 - "GET /health HTTP/1.1" 200 OK
backend-1  | INFO:     127.0.0.1:40222 - "GET /health HTTP/1.1" 200 OK
backend-1  | INFO:     127.0.0.1:57458 - "GET /health HTTP/1.1" 200 OK
backend-1  | INFO:     127.0.0.1:53926 - "GET /health HTTP/1.1" 200 OK
backend-1  | INFO:     127.0.0.1:57018 - "GET /health HTTP/1.1" 200 OK
backend-1  | INFO:     127.0.0.1:59446 - "GET /health HTTP/1.1" 200 OK
backend-1  | INFO:     172.18.0.4:46084 - "POST /chat HTTP/1.1" 200 OK
backend-1  | INFO:     127.0.0.1:38898 - "GET /health HTTP/1.1" 200 OK
backend-1  | INFO:     172.18.0.4:56450 - "POST /chat HTTP/1.1" 200 OK
backend-1  | INFO:     172.18.0.4:36468 - "POST /chat HTTP/1.1" 200 OK
backend-1  | INFO:     172.18.0.4:36474 - "POST /chat HTTP/1.1" 200 OK
backend-1  | INFO:     172.18.0.4:36478 - "POST /chat HTTP/1.1" 200 OK
backend-1  | INFO:     127.0.0.1:52080 - "GET /health HTTP/1.1" 200 OK
